0,1,2,3,4,5,llama_7B_ga_alpaca_20000/ckp7500_correct,llama_7B_ga_alpaca_20000/ckp7500_choiceA_probs,llama_7B_ga_alpaca_20000/ckp7500_choiceB_probs,llama_7B_ga_alpaca_20000/ckp7500_choiceC_probs,llama_7B_ga_alpaca_20000/ckp7500_choiceD_probs
A valid disjunctive syllogism has a major premise that:,includes two or more alternatives,classifies subjects,affirms the antecedent or denies the consequent,leads to a valid conclusion,A,True,0.48215455,0.042130195,0.20099191,0.27472338
Which of the following best describes the fallacy of style over substance?,Changing the meaning of a word or phrase from one part of the argument to another.,Confusing figurative language with literal language.,"Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.","Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.",C,False,0.113520995,0.16517207,0.2723227,0.44898424
"Which of the following fallacies is a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source?",significance,snob appeal,poisoning the well,appeal to anonymous authority,C,True,0.20590201,0.23331757,0.43589458,0.124885894
The false analogy fallacy is,a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other,arguing that an event that preceded another event necessarily is the cause of the second event,arguing that since something is new it is necessarily good,drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.,D,True,0.14050554,0.14050554,0.33705524,0.38193363
The _ad nauseam_ fallacy is,arguing that something should be done because that's the way it's been done in the past.,"arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects",reasoning that a conclusion is true because it's been claimed so often,reasoning that a claim is true because so many people believe it is true,C,False,0.12299502,0.12299502,0.20278451,0.5512254
Arguing that what is true of an entire object is also true of each part of that object is the fallacy of,false criteria,hasty generalization,ad crumenam,division,D,True,0.14696273,0.101005904,0.35254523,0.3994861
Which of the following describes the horse laugh fallacy?,responding to an argument with an expression of derision instead of a counter argument,attempts to gain agreement based solely the feelings aroused by the message,characterizing an opponent's position in such way to make it or its consequences appear to be ridiculous,"arguing actions should be taken to avoid negative results, when those results are exaggerated, unlikely, or irrelevant",A,False,0.12299502,0.20278451,0.5512254,0.12299502
Arguing that a lack of evidence proves something is the fallacy of...,Appeal to ignorance,Double negative,Equivocation,Burden of proof,A,False,0.27557582,0.0478879,0.27557582,0.40096045
The argument against the person consists of,ignoring another person's arguments and attacking her character instead,"asserting an opposing arguer has taken an easily defeated position, which she has not really taken",causing confusion during an argument by a lack of ability to engage in refutation,using threats of harm instead of reasoning to gain agreement,A,False,0.105515346,0.105515346,0.25311813,0.5358511
Which of the following fallacies happens when someone concludes that someone must be honest because the people he hangs around with are honest?,Laudatory personality,Guilt by association,Reprehensible personality,Circular reasoning,B,False,0.4762093,0.42025325,0.064447924,0.039089642
Asking a question that includes an unproven assumption may lead to which of the following fallacies?,Appeal to ignorance,Extension,a priori,Complex question,D,True,0.12372373,0.15886441,0.33631596,0.38109592
"Polonius in William Shakespeare's Hamlet: ""Your noble son is mad: Mad call I it, for to define true madness, What is't but to be nothing else but mad?""",Attacking the Person (ad hominem),Equivocation,Begging the Question,Appeal to Pity,C,True,0.10720508,0.09460815,0.42400432,0.3741825
Notice from the Hyatt Regency Hotel in New Orleans: We are pleased to confirm your reservation. It will be held on a space-available basis.,Equivocation,Affirming the Consequent,Gambler's Fallacy,Inconsistency,D,True,0.12498976,0.09144446,0.31917253,0.4643933
The natural law fallacy is,arguing that something is necessarily bad because it doesn't cost very much,substituting individual stories for a larger sample when supporting a generalization,arguing that what is true in nature must be true about humans,the same thing as the  post hoc  fallacy,C,False,0.09048414,0.12367716,0.29668608,0.48915264
"If someone uses an emotionally charged restatement of a claim in place of support for the claim, that person may have committed which of the following fallacies?",Style over substance,Question begging epithets,Hypostatization,Amphiboly,B,False,0.23389466,0.16075328,0.26503736,0.34031472
Arguing that a claim must be true merely because a substantial number of people believe it is called the fallacy of...,Tu quoque,Composition,Appeal to the masses,Appeal to reason,C,False,0.18116063,0.085574225,0.2986834,0.43458176
_Ad populum_. is another name for which fallacy?,poisoning the well,suppressed evidence,appeal to pride,appeal to the people,D,True,0.27332827,0.1878556,0.1878556,0.35096046
In a valid disjunctive syllogism the minor premise must,accept one choice,reject all but one choice,either A or B,none of the above,C,True,0.13778104,0.107303984,0.4243955,0.33051956
Which of the following describes the fallacy of appeal to spite?,responding to an argument with an expression of derision instead of a counter argument,arguing against a position based only on negative personal feelings toward the position,arguing someone should do something only because that person dislikes someone else,saying someone shouldn't do something because if he or she does it people won't like him or her,C,False,0.06513898,0.70031,0.17706609,0.057484943
_Ad hominem_ is another name for the fallacy of,appeal to loyalty,reducing to an absurdity,ignorance of refutation,argument against the person,D,True,0.018700838,0.06948204,0.29253033,0.6192867
The fallacy of appeal to the person is rejecting a claim by...,Using rhetoric,Making false statements,Ignoring the person,Criticizing the person who makes it,D,False,0.14080052,0.29807472,0.26305002,0.29807472
Another name for hasty conclusion is,hasty generalization,post hoc ergo prompter hoc,jumping to a conclusion,ad novitatem,C,True,0.23054817,0.20345806,0.3354456,0.23054817
"John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.",Begging the Question,False Dilemma,Straw Man,Appeal to Gallery (Provicialism),B,False,0.6567305,0.028854724,0.1767566,0.13765818
The fallacy of composition is,attributing the cause of an event to a simple cause when the cause is more complex,arguing that what is true of part of an object must be true of the entire object,drawing a conclusion without enough evidence to support that conclusion,drawing a conclusion based on sign reasoning when there is not really a direct relationship between the alleged sign and the subject of the conclusion,B,False,0.04194217,0.06915095,0.30991307,0.5789938
