0,1,2,3,4,5,llama2_chat_7B_alpacacode_alpacagpt4_52000_correct,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceA_probs,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceB_probs,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceC_probs,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceD_probs
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______.","Cryptocurrencies, Expensive, Secure, Financial Crime","Traditional currency, Cheap, Unsecure, Charitable giving","Cryptocurrencies, Cheap, Secure, Financial crime","Traditional currency, Expensive, Unsecure, Charitable giving",C,True,0.085988015,0.052154366,0.8158316,0.04602607
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.","Unsafe practices, Wants, Fear, Trivial","Unsafe practices, Distress, Fear, Serious","Safe practices, Wants, Jealousy, Trivial","Safe practices, Distress, Jealousy, Serious",B,True,0.016146274,0.68655705,0.011097161,0.28619954
"______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws.",Employee rights,Employee rights,Employer duties,Employee duties,D,False,0.15151553,0.76945937,0.029835178,0.04918989
" ______ is an employee's preferred ratio between work-related and non-work-related activities which, due to intensification of work and technological shifts, has become a hotly contested issue in recent years.",Presenteeism,Absenteeism,Work-play balance,Work-life balance,D,True,0.00019065445,0.0010306682,0.0013234041,0.9974553
" _______ can be a likened to their natural counterparts, comprising of a balanced network of interdependent organisms and their environments thus adding value to sustainability thinking due to the consideration of companies and industries as being bound together, and interdependent due to all kinds of resources and wastes.",Industrial supply loops,Industrial ecosystems,Ecological ecosystems,Corporate ecosystems,B,True,0.00048263857,0.9888205,0.003147199,0.0075497376
"________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.","Power imbalance, Benefits, Hoodwinked","Power imbalance, Resources, Co-opted","Informational asymmetries, Benefits, Hoodwinked","Informational asymmetries, Resources, Co-opted",B,True,0.042869188,0.59179085,0.048577152,0.31676283
Although corporate profit maximization is not directly prescribed by major normative theories to which normative theory is it most similar?,hedonistic utilitarianism,preference utilitarianism,The Categorical Imperative,ethics of care,B,True,0.15290292,0.8265853,0.007151364,0.013360507
What does Milton Friedman believe to be the sole responsibility of business?,The only social responsibility of business is to its shareholders,Managers should act in ways that balance the interest of society and shareholders,The primary responsibility organizations have is to its employees,The primary responsibility organizations have is to its stakeholders,A,False,0.0017875672,0.012408175,0.00010084764,0.9857034
"______ regulation goes further than the ______ that CSOs have with businesses, as it also concerns _______of such processes.","Legal, Interactions, Mechanics","Civil, Relations, Outcomes","Political, Interactions, Outcomes","Environmental, Relations, Mechanics",B,True,0.011410932,0.9064826,0.05794949,0.024156943
"_______ working practices refer to working patterns which involve temporal, spatial and task related fluidity.",Dynamic,Fluid,Flexible,Modern,C,True,0.037676472,0.062118,0.85751253,0.042693034
" What, according to Schnackenberg and Tomlinson (2014), are the three criteria which can be used to assess the quality of corporate transparency?","Breadth, Clarity, Accuracy","Disclosure, Detail, Accuracy","Disclosure, Clarity, Accuracy","Disclosure, Clarity, Efficiency",C,False,0.010736545,0.27689913,0.048117857,0.6642465
"A corporation is ________ from its managers, employees, investors and customers. It therefore has _______ succession and also ________.","Indistinguishable, Perpetual, Does not own its own assets","Independent, Limited, Owns its own assets","Independent, Perpetual, Owns its own assets","Indistinguishable, Perpetual, Owns its own assets",C,False,0.024266051,0.43012607,0.058211233,0.4873967
"The UK Public Services (Social Value) Act 2013 requires those procuring ______ to consider how they can secure wider _____, _____and _____ benefits.","Private services, social, economic and environmental","Public services, social, cultural and environmental","Private services, cultural, economic and environmental","Public services, social, economic and environmental",D,True,0.036188524,0.028183652,0.002313455,0.9333144
When the true cost an item is deliberately obscured by a company this is known as?,Predatory pricing,Deceptive pricing,Price fixing,Skimming,B,True,0.00019080439,0.99823976,0.001324445,0.00024499767
What are the three differing types of stakeholder theory according to Donaldson and Preston (1995)?,"Normative, Descriptive and Economic","Normative, Moral and Instrumental","Political, Descriptive and Instrumental","Normative, Descriptive and Instrumental",D,False,0.006049141,0.7922811,0.0013497458,0.20032004
"The Right to _______ has been a long-standing ethical concern for employees which today are addressed in most developed countries through a dense network of occupational health, safety and environmental regulations companies must abide by.",Work-life balance,Healthy and safe working conditions,Employee privacy,Free Speech,B,True,0.0008028118,0.9976126,0.0014998498,8.461574e-05
Which of the following would most effectively act as the primary objective of a business organisation?,To make a profit,To procure resources,To communicate with shareholders,To mediate between the organisation and the environment,A,True,0.91020507,0.03999162,0.004486935,0.04531644
