0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_qy_vic_2000_choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.085574225,0.18116063,0.43458176,0.2986834
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.06515075,0.083655216,0.7936986,0.057495337
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.31444588,0.45751604,0.14853372,0.07950437
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.111254565,0.16187444,0.6402258,0.08664514
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.1819148,0.1819148,0.56033707,0.07583337
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.1931054,0.4632358,0.28096673,0.06269215
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.37320176,0.17628802,0.3293494,0.12116087
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,False,0.2934623,0.48383754,0.13862178,0.08407836
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.09685129,0.20503417,0.6315497,0.06656485
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,0.09707789,0.11000367,0.717314,0.075604334
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.46788743,0.1043998,0.3643911,0.06332168
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.12744416,0.2101199,0.6472149,0.015221036
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.05630012,0.4713951,0.41600472,0.05630012
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.1584879,0.20350249,0.5531771,0.08483246
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,True,0.09846756,0.20845583,0.5666417,0.12643485
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,True,0.18030016,0.1404179,0.5553636,0.12391837
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,False,0.07330114,0.4218189,0.4218189,0.08306107
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.051075283,0.17827025,0.7050725,0.06558196
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,False,0.25346467,0.19739848,0.32545507,0.2236818
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.046114534,0.206671,0.6365915,0.11062302
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.055689074,0.104040876,0.7687639,0.07150619
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,False,0.13507906,0.13507906,0.68598807,0.04385375
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.12877125,0.12877125,0.6539543,0.08850309
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,True,0.36617643,0.19600013,0.28517848,0.15264504
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.109192826,0.20399906,0.62836134,0.058446713
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.021787858,0.0760471,0.63673455,0.26543045
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.36684275,0.22250138,0.36684275,0.04381312
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,False,0.28738207,0.11979867,0.3690059,0.22381338
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,False,0.23516482,0.20753223,0.49784395,0.059458982
